skill,skillType,source
adobe imageready,Technology,BG
adobe indesign,Technology,FW || BG
adobe marketing cloud,Technology,BG
adobe pagemaker,Technology,BG
adobe photoshop,Technology,FW || BG
adobe premiere,Technology,FW || BG
adobe shockwave,Technology,BG
adobe site catalyst,Technology,BG
adobe systems adobe aftereffects,Technology,FW
adobe systems adobe creative cloud,Technology,FW
adobe systems adobe dreamweaver,Technology,FW
adobe systems adobe experience manager (aem),Technology,FW
adobe systems adobe illustrator,Technology,FW
adobe systems adobe indesign,Technology,FW
adobe systems adobe photoshop,Technology,FW
adobe systems adobe premiere pro,Technology,FW
adult care,Special,BG
adult detention,Special,BG
adult education,Special,BG
adult psychiatry,Special,BG
advanced business application programming (abap),Technology,BG
advanced cardiac life support (acls),Special,BG
advanced composites,Special,BG
advanced control methods,Special,BG
advanced data entry,Special,BG
advanced encryption standard (aes),Special,BG
advanced interactive executive (aix),Technology,BG
advanced manufacturing,Special,BG
advanced manufacturing equipment,Special,BG
advanced manufacturing systems,Special,BG
advanced materials development,Special,BG
advanced materials manufacturing,Special,BG
advanced message queuing protocol (amqp),Special,BG
advanced packaging,Special,BG
advanced planning & scheduling (aps),Special,BG
advanced production and loading (apl) network,Special,BG
advanced robotics,Special,BG
advanced sourcing,Special,BG
advanced statistics,Special,BG
advanced supply chain planning (ascp),Special,BG
advanced technologies,Special,BG
advanced traffic management system,Special,BG
advantx software,Technology,BG
advertising,Special,BG
advertising budgeting,Special,BG
advertising copywriting,Special,BG
advertising design,Special,BG
advertising industry knowledge,Special,BG
advertising initiative,Special,BG
advertising management,Special,BG
advertising media plans,Special,BG
advertising revenue,Special,BG
advertising sales,Special,BG
advertising services,Special,BG
advertising strategy,Special,BG
advocacy strategy development,Special,BG
aerobics,Special,BG
aeromedical evacuation,Special,BG
aerospace engineering,Special,BG
aerospace industry knowledge,Special,BG
aerospace medicine,Special,BG
aerospace supply chain management,Special,BG
aetiology,Special,BG
afferent,Special,BG
affidavit preparation,Special,BG
affymetrix,Special,BG
aftermarket sales,Special,BG
age discrimination in employment act (adea),Special,BG
agency selection,Special,BG
agenesis,Special,BG
agfa,Special,BG
agile development,Technology,FW || BG
agile manager,Special,BG
agile product lifecycle management,Special,BG
agilent,Special,BG
agilent chemstation,Special,BG
agitator tanks,Special,BG
agonist,Special,BG
agresso,Special,BG
agribusiness,Special,BG
agricultural biotechnology,Special,BG
agricultural industry knowledge,Special,BG
agricultural production,Special,BG
agricultural research,Special,BG
agricultural tractors,Special,BG
agricultural sales,Special,FW
agrochemical industry knowledge,Special,BG
agronomy,Special,FW || BG
air ambulance,Special,BG
air conditioner installation,Special,BG
air conditioner repair,Special,BG
air conditioning system installation,Special,BG
air emissions,Special,BG
air filter replacement,Special,BG
air force network,Special,BG
air freight,Special,BG
air hammers,Special,BG
air permitting,Special,BG
air pollution control,Special,BG
air quality control,Special,BG
air quality regulations,Special,BG
air quality remediation,Special,BG
air quality standards,Special,BG
air sample analysis,Special,BG
air sampling,Special,BG
air scrubbers,Special,BG
air traffic flow,Special,BG
air traffic management,Special,BG
air traffic regulations,Special,BG
air transportation industry knowledge,Special,BG
air vehicle engineering,Special,BG
air quality testing,Special,FW
airwatch,Special,BG
airboats,Special,BG
airborne pollutants measurement,Special,BG
aircraft accident investigation,Special,BG
aircraft electrical systems,Special,BG
aircraft leasing,Special,BG
aircraft maintenance,Special,BG
aircraft equipment testing,Special,FW
aircraft inspection,Special,FW
aircraft piloting,Special,FW
airline control systems,Special,BG
airline economics,Special,BG
airline management,Special,BG
airport management,Special,BG
airway management,Special,BG
airway obstruction,Special,BG
akka,Special,BG
alarm industry knowledge,Special,BG
alarm system monitoring,Special,BG
alcohol abuse,Special,BG
alcohol rubs,Special,BG
alcoholic beverage industry knowledge,Special,BG
aldosterone,Special,BG
aleve,Special,BG
alfresco,Technology,BG
algebra,Special,BG
algorithm development,Special,BG
algorithmics,Special,BG
allele,Special,BG
allen-bradley equipment,Special,BG
allen-bradley controls,Special,BG
allergen immunotherapy,Special,BG
allergies,Special,BG
allergist,Special,BG
allergy consultation,Special,BG
allergy research,Special,BG
allergy and immunology,Special,BG
allied health industry knowledge,Special,BG
allied health research,Special,BG
allograft,Special,BG
alphacam,Technology,BG
alprazolam,Special,BG
alternative air conditioning,Special,BG
alternative distribution channels,Special,BG
alternative energy,Special,BG
alternative financing,Special,BG
alternative fuels,Special,BG
alternative investments,Special,BG
alternative medicine,Special,BG
alternative splicing,Special,BG
alternative therapy,Special,BG
alternative transportation,Special,BG
alternative treatment,Special,FW
alteryx,Special,BG
altium,Technology,BG
altium designer,Technology,FW
aluminium extraction,Special,BG
aluminium industry knowledge,Special,BG
aluminium mining,Special,BG
aluminium tig welding,Special,BG
aluminium welding,Special,BG
alveolar,Special,BG
alzheimer's disease knowledge,Special,BG
amalgam,Special,BG
amazon cloudformation,Technology,FW
amazon web services (aws),Technology,FW || BG
ambari,Technology,BG
amblyopia,Special,BG
ambulance operations,Special,BG
ambulation assistance,Special,BG
ambulatory care,Special,BG
ambulatory electronic health records,Special,BG
ambulatory functional activities,Special,BG
american sign language,Core,BG
americans with disabilities act (ada),Special,BG
amiga,Special,BG
amine,Special,BG
amino acid analysis,Special,BG
ammeters,Special,BG
amniocentesis,Special,BG
amnion,Special,BG
amniotic fluids,Special,BG
amoxicillin,Special,BG
amperage,Special,BG
amylase,Special,BG
amyotrophic lateral sclerosis,Special,BG
anaesthesiology,Special,BG
anaesthetic drugs,Special,BG
anal cancer knowledge,Special,BG
analgesic,Special,BG
analogue circuit design,Special,BG
analogue design,Special,BG
analogue to digital converter (adc),Special,BG
analysing drawings,Special,BG
analysis / prediction of customer demand,Special,BG
analysis computing tools,Special,BG
analysis of variance (anova),Special,BG
analysis summary,Special,BG
analysis of specs,Special,BG
analysis/planning advice,Special,FW
analyst relations,Special,BG
analyte detection,Special,BG
analytical chemistry,Special,BG
analytical functions,Special,BG
analytical skills,Core,BG
analytical software,Special,BG
analytical testing,Special,BG
analytical ultracentrifugation,Special,BG
analytics industry knowledge,Special,BG
anaplan,Special,BG
anatomy,Special,BG
anatomy research,Special,BG
andro,Special,BG
android,Technology,BG
android application development,Technology,BG
android middleware,Technology,BG
android multimedia,Special,BG
android software development kit (sdk),Technology,BG
android studio,Technology,BG
android testing,Technology,BG
andrology,Special,BG
anemometers,Special,BG
aneurysm diagnosis / treatment,Special,BG
angiogenesis,Special,BG
angiogram,Special,BG
angiography,Special,BG
angioplasty,Special,BG
angularjs,Technology,BG
animal care,Special,BG
animal control,Special,BG
animal dander,Special,BG
animal health,Special,BG
animal husbandry,Special,BG
animal models,Special,BG
animal breeding,Special,FW
animal examination,Special,FW
animal injury/illness treatment,Special,FW
animal slaughtering,Special,FW
animal surgery,Special,FW
animal training,Special,FW
animation,Special,BG
ankle sprain diagnosis / treatment,Special,BG
annealing furnaces,Special,BG
annual budget preparation,Special,BG
annual reports,Special,BG
annuities,Special,BG
anomaly detection,Special,BG
anorexia diagnosis / treatment,Special,BG
anorexia nervosa diagnosis / treatment,Special,BG
anoscopy,Special,BG
anoxia,Special,BG
anoxic,Special,BG
ansible,Technology,BG
ansible software,Technology,FW
ansys,Technology,BG
antenatal care,Special,BG
antenna installation,Special,BG
antenna repairs,Special,BG
anthrax,Special,BG
anthropology,Special,BG
anti money laundering (aml),Special,BG
anti-epileptic drugs,Special,BG
anti-infective,Special,BG
anti-emetic,Special,BG
antibiotic agent,Special,BG
antibiotic resistance,Special,BG
antibiotics administration,Special,BG
antibody conjugations,Special,BG
antibody formation,Special,BG
antibody isolation,Special,BG
antibody production,Special,BG
antibody purification,Special,BG
antibody structure,Special,BG
antibody technology,Special,BG
anticoagulant,Special,BG
anticonvulsant,Special,BG
antidote,Special,BG
antifungal,Special,BG
antigen,Special,BG
antihistamines,Special,BG
antimicrobial drug,Special,BG
antimicrobial resistance,Special,BG
antineoplastic,Special,BG
antiparasitic,Special,BG
antipsychotic,Special,BG
antiretroviral,Special,BG
antisepsis,Special,BG
antispasmodic drugs,Special,BG
antiviral drugs,Special,BG
antivirals,Special,BG
antivirus management,Special,BG
aorta,Special,BG
apache accumulo,Technology,BG
apache activemq,Technology,BG
apache administration,Special,BG
apache ant,Technology,BG
apache avro,Technology,BG
apache axis,Technology,BG
apache axis2,Technology,BG
apache cxf,Technology,BG
apache camel,Technology,BG
apache cassandra,Technology,FW
apache click,Technology,BG
apache continuum,Special,BG
apache cordova,Technology,BG
apache felix,Technology,BG
apache flex,Technology,BG
apache flume,Technology,FW || BG
apache groovy,Technology,BG
apache http server,Technology,BG
apache hadoop,Technology,FW || BG
apache hive,Technology,FW || BG
apache impala,Technology,FW || BG
apache ivy,Special,BG
apache jackrabbit,Technology,BG
apache jmeter,Technology,FW || BG
apache kafka,Technology,FW || BG
apache karaf,Technology,BG
apache mesos,Technology,BG
apache phoenix,Special,BG
apache pig,Technology,FW
apache samza,Technology,BG
apache servicemix,Special,BG
apache sling,Technology,BG
apache spark,Technology,FW || BG
apache storm,Technology,BG
apache subversion (svn),Technology,BG
apache thrift,Special,BG
apache tomcat,Technology,FW
apache uima,Special,BG
apache velocity,Technology,BG
apache webserver,Technology,FW || BG
apache zookeeper,Technology,BG
apartment maintenance,Special,BG
apex code,Technology,BG
apgar,Special,BG
aphasia,Special,BG
apical,Special,BG
apigee,Technology,BG
apnoea,Special,BG
apoptosis,Special,BG
appexchange,Technology,BG
appsense,Special,BG
apparel industry knowledge,Special,BG
apparel sales,Special,BG
apparel/fabrics solutions application,Special,FW
appcelerator,Special,BG
appendectomy,Special,BG
appian,Special,BG
apple final cut pro,Technology,FW
apple healthkit,Technology,BG
apple keynote,Technology,BG
apple macintosh,Technology,BG
apple numbers,Technology,BG
apple pages,Technology,BG
apple safari,Special,BG
apple watch development,Special,BG
apple iwork,Technology,BG
applescript,Special,BG
appliance cleaning,Special,BG
appliance construction,Special,BG
appliance design,Special,BG
appliance diagnosis,Special,BG
appliance fitting,Special,BG
appliance repair,Special,BG
appliance sales,Special,BG
appliance installation,Special,FW
applicant tracking system,Special,BG
application acceleration,Special,BG
application architecture patterns,Special,BG
application design,Technology,BG
application development,Technology,BG
application implementation,Technology,BG
application layer,Special,BG
application lifecycle management,Special,BG
application lifecycle management (alm) software,Special,BG
application master,Special,BG
application packaging,Special,BG
application performance management,Special,BG
application programming interface (api),Special,BG
application remediation,Special,BG
application security assessment,Special,BG
application security code review,Special,BG
application support,Special,BG
application data verification,Special,FW
application/form preparation,Special,FW
applications/systems troubleshooting,Special,FW
applied behaviour analysis,Special,BG
applied statistics,Special,BG
applix,Special,BG
appointment setting,Special,BG
appointments scheduling,Special,FW
apptus,Special,BG
apraxia,Special,BG
apriso,Special,BG
apttus,Special,BG
aqua aerobics,Special,BG
aquaculture,Special,BG
aquafarming industry knowledge,Special,BG
aquatic ecology,Special,BG
arabic,Core,BG
arabidopsis thaliana,Special,BG
arbitration,Special,BG
arbovirus,Technology,BG
arc welding,Special,BG
arcgis,Technology,BG
arcobjects,Special,BG
arcserver,Special,BG
arcsight,Technology,BG
arcsight enterprise threat and risk management,Technology,FW
archaeology,Special,BG
archery,Special,BG
architectural compliance,Special,BG
architectural design,Special,BG
architectural draughting,Special,BG
architectural engineering,Special,BG
architectural history,Special,BG
architectural practices,Special,BG
architectural problems,Special,BG
architectural standards,Special,BG
architectural techniques,Special,BG
architecture governance,Special,BG
archival collection management,Special,BG
archival management,Special,BG
archival materials,Special,BG
archival preservation,Special,BG
archival principles,Special,BG
archival processing,Special,BG
archival reference,Special,BG
archival evaluation,Special,FW
archives administration,Special,BG
archon,Special,BG
arcview,Technology,BG
arduino,Special,BG
areva,Special,BG
arginine,Special,BG
argon laser,Special,BG
arguing motions,Special,BG
aromatherapy,Special,BG
arrhythmia diagnosis / treatment,Special,BG
arri alexa,Special,BG
art direction,Special,BG
art history,Special,BG
art/design review,Special,FW
artemis,Special,BG
arterial catheter,Special,BG
